x,y,z
111,417,-1110
27,-3,-1079
44,-240,-987
-181,-372,-1034
-17,142,-962
-72,357,-1013
113,244,-1032
-115,179,-1089
40,1,-1032
-91,-154,-884
206,-29,-970
-249,27,-1169
169,-17,-1128
-1,-107,-1079
9,17,-966
-87,-160,-1030
-68,-50,-968
72,158,-1011
-101,179,-1015
-42,482,-1065
197,-74,-1093
-128,-25,-964
76,-208,-886
48,-39,-1120
35,-37,-1081
-17,97,-1026
60,7,-1065
-62,-265,-1075
-146,113,-923
74,255,-917
-56,173,-1087
40,538,-884
-181,-95,-1013
83,-185,-1057
-152,-185,-952
56,-11,-940
177,265,-1093
-54,-29,-1073
62,-162,-1022
109,-503,-960
40,193,-1026
5,95,-1044
-142,499,-1024
132,236,-1032
-230,64,-1147
156,-259,-999
-29,-232,-952
124,333,-1034
-91,0,-1071
-91,35,-1020
-17,-160,-954
29,-107,-993
-19,-195,-987
-158,244,-1077
154,288,-1091
-29,269,-1089
99,64,-942
-122,-140,-981
128,-183,-931
40,144,-1155
-48,76,-1196
-11,-169,-1079
144,-269,-956
9,-167,-974
-95,99,-1020
21,253,-1048
46,507,-1057
62,39,-979
-111,-99,-897
-9,-171,-981
-46,193,-972
162,136,-1108
-17,-132,-1151
72,-245,-1013
-31,-68,-972
42,122,-970
-46,-35,-991
46,378,-1040
150,214,-1116
-154,101,-1063
-39,-324,-894
56,167,-1016
21,58,-1048
33,52,-1112
-89,-142,-1063
-50,-11,-976
101,-154,-1063
27,17,-1024
-76,236,-1044
-91,251,-1075
111,150,-983
-9,-46,-925
23,-175,-1028
-146,124,-1040
23,230,-1057
-52,-99,-1108
-89,-113,-935
-70,-312,-1015
5,21,-1128
-93,505,-1098
-91,214,-1024
58,60,-1085
19,-300,-1007
52,101,-958
136,37,-923
-64,40,-1171
144,80,-1048
-33,-126,-1097
-56,-177,-886
-62,23,-907
68,195,-1097
39,167,-1186
54,226,-1069
21,81,-946
-35,-242,-993
-31,150,-917
175,-25,-1038
-138,-58,-1114
-9,-247,-981
15,105,-919
42,54,-952
-70,165,-919
13,121,-1147
80,17,-1180
119,124,-1054
37,-40,-929
-99,48,-972
101,58,-1015
-48,50,-1087
160,-179,-1057
-160,-245,-1081
-162,-11,-858
31,105,-911
76,406,-1120
-206,220,-1136
240,19,-1024
-130,-3,-954
83,-97,-985
-42,37,-1065
-13,-54,-1077
56,-89,-1120
-60,-5,-1024
-78,-70,-890
21,74,-954
-89,39,-1173
101,218,-1069
203,-17,-1079
-31,-17,-991
87,-1,-1046
-7,353,-989
111,83,-1052
19,-322,-1097
-216,-204,-1038
-23,27,-989
-144,238,-1063
78,201,-1044
-64,132,-1100
39,-52,-1024
-128,-83,-954
-42,156,-870
99,140,-1071
58,-99,-1120
-39,-80,-940
40,-23,-894
39,-99,-1145
23,113,-1069
23,175,-1050
54,-11,-1118
39,169,-983
-48,-35,-823
-25,130,-946
7,-42,-1081
60,-7,-1067
-35,-113,-989
-189,-5,-831
-76,70,-895
9,87,-1085
-27,257,-1126
9,-64,-1104
66,54,-989
-17,11,-792
111,103,-1124
-27,-103,-1075
-58,-17,-929
-185,-97,-968
50,-148,-1093
-87,417,-1024
130,74,-1003
83,-132,-1173
-11,70,-921
76,-64,-1024
136,226,-997
113,-154,-1188
-152,-113,-1056
19,-154,-894
-54,126,-972
-74,359,-1003
-66,99,-1110
54,60,-1120
29,-31,-1034
29,-119,-1024
-54,201,-890
27,-58,-1046
23,-50,-1120
-83,-117,-899
46,-31,-1005
46,169,-1036
35,37,-1093
-13,154,-968
48,46,-1114
42,-99,-1016
-81,81,-933
-19,-44,-962
95,154,-1089
-97,-146,-1048
-189,-152,-907
76,-17,-989
-83,292,-1089
23,119,-1173
-85,230,-1071
107,-83,-1032
21,-74,-976
-25,224,-936
124,-56,-1063
-150,-109,-1114
119,-5,-952
-103,21,-976
-83,-113,-977
140,314,-1132
-50,142,-1085
44,-62,-1083
46,-152,-1046
48,148,-991
64,273,-999
37,-253,-1091
-142,-169,-1048
50,-144,-985
-208,206,-763
148,132,-1038
-60,216,-1134
27,56,-1061
101,-23,-1026
-52,-85,-1020
9,154,-903
210,-80,-999
-54,-101,-1085
-128,-117,-1126
-23,119,-968
-19,136,-1003
160,183,-1077
-62,169,-1134
68,-29,-1067
-19,9,-962
-1,109,-882
13,-109,-1022
-46,-33,-1073
-56,-113,-931
-74,107,-841
-33,-85,-1003
58,193,-1171
37,218,-1141
132,31,-1093
-68,11,-960
-101,58,-1038
140,-58,-997
113,-117,-1050
-165,89,-1050
-72,-154,-903
-150,107,-958
-23,76,-1122
187,304,-1079
31,-91,-991
-54,-19,-1011
46,64,-827
21,193,-1024
109,0,-1163
35,-238,-1077
-206,-76,-897
23,99,-894
19,242,-1079
93,70,-1079
-119,46,-1114
-37,103,-989
138,29,-938
-117,-105,-933
15,3,-981
-39,-148,-981
175,-44,-1016
-119,140,-1046
-37,93,-1063
56,85,-1081
-9,66,-1104
156,228,-1077
-72,-199,-897
78,9,-944
60,167,-981
-130,-105,-1003
1,-327,-1087
-130,40,-976
19,359,-997
-54,177,-1124
7,-54,-1108
74,99,-1022
-9,240,-1061
-35,-46,-1067
-56,-138,-862
140,-70,-979
70,-62,-1042
-226,-185,-989
39,220,-954
52,56,-1159
60,257,-1114
35,97,-1015
173,-83,-1052
-83,29,-917
-7,195,-1036
56,-201,-1011
-140,-183,-1038
-27,-124,-1024
7,361,-956
44,97,-1141
-83,185,-1046
54,-64,-1054
23,-93,-1022
23,201,-864
19,29,-1091
-122,54,-1038
42,-214,-997
-25,46,-974
-31,101,-970
-58,101,-1253
-9,130,-1075
175,-9,-1081
173,-46,-1034
-101,60,-921
0,109,-944
-19,-185,-1016
-50,-124,-1075
-5,-62,-976
-19,136,-915
-37,292,-1266
1,35,-1161
9,35,-936
119,-58,-970
-39,-17,-1056
23,150,-976
-3,-85,-1042
9,-113,-1013
-152,-121,-954
-128,167,-942
-40,255,-1110
154,56,-1155
-74,64,-892
46,33,-981
-103,-39,-979
103,60,-976
19,-78,-1030
62,-5,-999
-99,-158,-1050
-46,286,-964
62,203,-1075
39,99,-1216
158,-121,-1079
-15,87,-874
56,-9,-948
-103,-56,-1040
-35,46,-954
-15,-167,-948
15,-35,-999
17,236,-1134
-160,257,-1048
-50,0,-1091
187,64,-1061
150,-68,-962
1,33,-907
62,-89,-1026
-17,-111,-1063
-156,-58,-968
25,76,-987
-44,173,-1087
44,17,-1165
-119,140,-1056
-11,234,-1108
167,-126,-999
-97,-177,-794
52,163,-936
52,-203,-1139
-121,-251,-970
-212,247,-884
29,87,-1032
68,9,-1175
-35,279,-1077
-115,89,-944
-9,-56,-958
1,-33,-1028
-42,-132,-1024
-113,-126,-936
-255,39,-1003
-327,210,-1059
-50,99,-1134
-294,245,-1026
-165,-83,-1081
-314,236,-960
-144,58,-936
-259,-107,-1026
-228,-185,-1011
-257,-126,-1001
-767,-11,-935
-15,-40,-1013
-856,437,-1157
-1075,-107,-1206
-942,308,-929
-1179,52,-1190
-964,128,-819
-1936,76,-1255
-1493,119,-792
-1829,-23,-741
-1227,-210,-1052
-1627,554,-1056
-1126,142,-1013
-1512,370,-1216
-905,-165,-1177
-1169,265,-1015
-1067,193,-981
-1042,-269,-1042
-1206,183,-1268
-761,-85,-1050
-1604,374,-1276
-1003,35,-778
-1124,-158,-1243
-517,396,-1134
-1313,-44,-1015
-876,15,-673
-976,-165,-1005
-530,230,-1069
-1097,433,-991
-847,-407,-860
-1180,-185,-1013
-776,706,-1229
-1159,242,-1294
-1198,-206,-1020
-1235,-548,-962
-1052,423,-854
-1208,657,-923
-1253,-411,-739
-1450,-218,-821
-1077,220,-1112
-1723,669,-1155
-1188,-56,-946
-1339,-27,-1397
-927,-39,-1423
-1649,847,-1079
-1223,-91,-730
-1424,-585,-1122
-1030,310,-938
-1475,370,-1044
-1303,294,-882
-1331,-657,-1278
-1061,599,-1276
-1374,534,-966
-1417,-40,-837
-1093,-175,-1083
-1102,-95,-1093
-1668,677,-995
-1216,-406,-981
-1288,-277,-1210
-1018,318,-1056
-1579,776,-1054
-1141,-101,-899
-1247,-351,-1018
-1313,439,-1005
-1372,105,-839
-1401,-154,-903
-1120,-489,-1116
-1399,388,-1204
-1559,499,-938
-1341,89,-974
-1192,-224,-1182
-1225,402,-1259
-1471,400,-1208
-1202,-177,-915
-1380,-419,-1007
-1274,314,-907
-1518,443,-1108
-1325,-81,-745
-1600,-298,-938
-1100,585,-1102
-1547,509,-1573
-1364,52,-989
-1641,-347,-1046
-942,244,-1067
-1637,409,-1227
-1346,-58,-610
-1678,-441,-942
-1007,247,-1022
-1528,476,-1216
-1212,370,-782
-1378,-363,-1106
-1065,158,-1210
-1503,275,-1087
-1192,224,-708
-1194,-386,-995
-1300,68,-1272
-1544,413,-1116
-1300,97,-763
-1346,-150,-1114
-1061,257,-1335
-1438,448,-1251
-1331,-66,-776
-1337,-271,-884
-1030,-15,-1097
-1475,534,-1048
-1354,-23,-741
-1567,-339,-1057
-1218,150,-1331
-1748,767,-1264
-1305,83,-911
-1477,-382,-1202
-1157,68,-1241
-1723,687,-913
-1303,-9,-593
-1501,-737,-1077
-1179,365,-1141
-1629,644,-927
-1319,187,-835
-1395,-409,-1280
-1100,325,-1399
-1596,612,-1056
-1272,-222,-730
-1376,-513,-1067
-1075,195,-1097
-1577,585,-987
-1204,-9,-782
-1547,-144,-1118
-1083,331,-1159
-1405,587,-1126
-1145,-156,-909
-1464,-521,-1032
-1130,300,-1026
-1434,450,-1011
-1118,-197,-827
-1272,-327,-1077
-974,378,-1194
-1200,569,-1198
-962,119,-1001
-981,-447,-1175
-776,286,-1167
-956,372,-935
-919,-17,-739
-825,-650,-983
-794,142,-1124
-823,507,-1046
-903,226,-979
-718,-216,-1210
-548,163,-1301
-609,464,-1048
-536,-105,-839
-503,-349,-989
-361,-1,-1016
-562,300,-972
-462,-17,-929
-431,-39,-1081
-189,275,-1126
-322,253,-1095
-222,-58,-1083
-224,-130,-1071
-185,-19,-952
-265,113,-944
-247,52,-1015
-204,-156,-1048
-242,3,-1038
-259,359,-1036
-191,314,-1143
-224,-101,-1126
-165,-187,-1065
-203,187,-907
-150,124,-892
-158,-292,-1015
-193,-152,-1065
-240,273,-974
-238,351,-1052
-203,0,-1241
-193,27,-1225
-154,144,-1018
-81,-3,-950
-216,-171,-987
-175,-95,-917
-234,52,-946
-232,87,-1057
-275,103,-1118
-158,167,-1069
-146,107,-1167
-60,74,-1179
-80,-95,-1015
-107,-52,-892
-187,39,-972
-130,1,-1024
-183,-99,-1018
-181,40,-1018
-126,284,-1067
-35,206,-1122
-56,-70,-1155
-87,40,-1032
-115,95,-864
-25,-52,-938
-52,-177,-1087
-58,-1,-991
-107,62,-985
-46,156,-1138
-97,224,-1182
-46,126,-1126
-35,-76,-1083
-37,17,-1003
-62,-15,-866
-9,-136,-888
-31,-80,-1040
-87,103,-1042
-148,195,-1015
-66,122,-1155
-39,165,-1212
50,25,-1106
9,-132,-1022
-31,-13,-915
-23,9,-874
11,-85,-1018
-89,19,-1075
-148,271,-1005
-60,113,-1083
0,93,-1227
27,62,-1136
29,-68,-923
19,-115,-933
-23,50,-995
-54,-33,-976
-74,-56,-1018
-85,121,-1093
-31,292,-1075
27,31,-1159
54,11,-1169
64,74,-1015
56,-76,-870
62,-70,-960
11,0,-974
103,-62,-966
54,15,-1071
93,240,-1110
124,163,-1114
177,5,-1223
121,50,-1139
58,15,-927
-7,-134,-878
11,-74,-991
-9,19,-981
-27,-39,-968
-40,183,-1081
-70,312,-1136
9,40,-1118
-3,-40,-1122
-80,64,-931
-60,-85,-847
5,-144,-1003
-56,21,-1065
-83,35,-1011
-111,124,-1095
-101,324,-1188
-46,122,-1157
25,-95,-1116
-21,-23,-993
-68,-25,-849
-5,-210,-931
-29,5,-1038
-105,97,-1016
-85,121,-1061
-85,277,-1179
-54,210,-1177
3,-105,-1116
11,-93,-1040
-31,5,-882
21,-165,-876
33,-76,-1028
-93,175,-1015
-99,130,-987
-56,163,-1153
-44,220,-1184
50,-50,-1095
74,-152,-1071
3,52,-921
35,-138,-878
35,-117,-1026
-64,152,-1057
-95,173,-1001
-21,109,-1145
3,230,-1204
74,-5,-1106
105,-156,-1042
39,1,-903
9,-50,-837
52,-136,-981
-27,130,-1061
-81,179,-1009
17,140,-1130
23,242,-1235
80,27,-1132
103,-177,-1036
52,-21,-927
-3,-25,-829
40,-126,-958
-39,115,-1056
-97,136,-1015
-35,107,-1104
13,228,-1220
37,64,-1134
78,-171,-1030
54,-58,-936
-7,-3,-849
56,-146,-976
-27,89,-1100
-89,148,-1046
-46,119,-1095
15,257,-1208
15,62,-1132
56,-177,-1028
48,-29,-907
-37,-23,-849
44,-152,-974
-31,83,-1089
-101,156,-1054
-52,144,-1120
11,249,-1233
0,62,-1141
74,-167,-1044
29,-21,-923
-25,-40,-847
33,-162,-974
-37,105,-1061
-103,95,-1020
-54,163,-1116
9,314,-1202
23,23,-1138
87,-142,-1059
37,-17,-905
27,-121,-862
39,-95,-962
-15,105,-1056
-64,64,-1038
-44,203,-1126
1,279,-1179
37,-31,-1141
78,-117,-1057
29,-21,-884
40,-181,-866
58,-19,-974
-25,93,-1038
-46,19,-1034
-52,277,-1132
5,300,-1167
29,-66,-1159
48,-52,-1073
-7,-76,-868
27,-220,-878
11,13,-997
-37,46,-1034
0,35,-1048
-72,366,-1122
3,199,-1149
56,-52,-1182
35,9,-1079
-15,-165,-860
31,-171,-915
-9,46,-995
-27,-13,-1030
-39,93,-1079
-78,400,-1124
31,138,-1145
70,7,-1161
21,19,-1028
3,-251,-849
11,-87,-938
-27,56,-981
-7,-78,-1050
-42,193,-1091
-80,339,-1089
64,87,-1177
70,126,-1153
37,-117,-1001
44,-224,-868
9,-19,-894
7,-109,-991
3,11,-1085
-68,283,-1075
-54,199,-1097
56,162,-1192
35,113,-1108
54,-240,-964
31,-64,-882
3,-91,-892
29,-132,-1018
-52,150,-1095
-74,183,-1071
-11,201,-1138
35,253,-1192
54,-44,-1073
85,-162,-968
0,-15,-860
19,-236,-882
17,15,-1052
-64,154,-1093
-72,85,-1089
-25,363,-1163
0,152,-1188
74,-154,-1089
27,-17,-956
-3,-195,-825
46,-156,-925
-19,150,-1024
-23,5,-1056
-64,259,-1128
-31,347,-1145
33,15,-1179
58,11,-1106
-13,-132,-892
19,-265,-876
9,19,-938
-21,-7,-1038
5,74,-1091
-74,407,-1075
54,117,-1159
117,103,-1210
95,-19,-1028
138,-283,-899
70,-76,-911
140,-165,-940
204,-35,-1079
201,316,-1093
226,222,-1132
361,169,-1169
361,107,-1132
417,-185,-991
400,-115,-882
366,-244,-853
402,-228,-1007
357,251,-1087
302,117,-1079
423,169,-1147
435,255,-1165
501,-37,-1128
450,-19,-972
337,-294,-810
398,-310,-872
361,132,-1036
288,128,-1061
279,21,-1098
281,355,-1128
366,103,-1194
347,113,-1128
296,-203,-936
275,-347,-831
265,-11,-944
220,35,-995
228,-13,-1100
124,343,-1106
226,216,-1147
218,249,-1208
185,-85,-1071
156,-363,-919
89,-9,-872
37,-171,-919
101,-37,-1087
19,206,-1061
31,244,-1110
117,404,-1139
87,54,-1155
132,-206,-1044
44,-76,-872
5,-244,-839
46,-185,-1015
-27,146,-1057
-33,101,-1128
5,503,-1124
13,136,-1163
146,-72,-1157
42,37,-968
37,-302,-827
48,-183,-882
23,-103,-1005
40,13,-1108
-7,489,-1079
13,185,-1143
48,162,-1182
21,56,-1087
68,-140,-948
7,-99,-905
-21,-267,-946
25,-214,-1069
-9,247,-1056
-48,126,-1016
62,384,-1048
11,208,-1110
117,-9,-1093
27,107,-985
85,-247,-1005
78,-103,-1112
80,-150,-1050
33,-74,-993
-11,290,-952
-27,70,-1030
60,126,-1081
15,126,-1095
56,-1,-1050
89,74,-1050
99,-179,-1042
107,-107,-1036
-7,113,-874
44,17,-913
72,103,-1151
7,33,-1180
60,11,-1175
19,167,-1056
93,-101,-1075
76,-60,-995
27,11,-868
-50,33,-888
-48,232,-1016
0,-64,-1157
29,142,-1220
-58,101,-1087
58,-121,-1050
27,31,-1003
33,-269,-1007
-31,115,-880
-35,93,-909
-64,83,-1106
-72,255,-1208
-50,117,-1151
1,183,-1056
9,-60,-1011
64,-290,-1022
19,-97,-927
-25,-121,-905
-1,144,-1003
17,152,-1200
31,136,-1225
33,380,-1089
46,15,-997
119,-40,-976
27,-181,-946
40,-263,-899
-89,122,-923
-46,-29,-1095
23,142,-1206
-9,247,-1167
64,160,-1071
58,185,-985
72,-165,-1009
99,-150,-1026
-80,-81,-895
25,-150,-942
-44,193,-1081
-11,177,-1214
-42,351,-1054
87,113,-1040
66,-91,-1061
58,-111,-1038
37,-312,-944
-27,-70,-936
-103,56,-948
-46,58,-1118
11,431,-1179
-9,236,-1124
46,195,-1087
76,-163,-1005
97,-286,-1026
-42,-150,-837
13,-218,-854
-109,163,-1044
-42,148,-1171
15,286,-1227
9,355,-1130
74,11,-1093
64,-68,-1026
46,-353,-911
-54,-134,-845
-107,-58,-899
0,-83,-1175
-19,431,-1247
-1,240,-1188
7,244,-1044
105,0,-983
64,-259,-977
-3,-148,-813
-19,-277,-897
-134,105,-1097
-83,126,-1186
17,308,-1223
15,447,-1056
42,21,-1069
21,-42,-931
64,-454,-894
-103,-204,-921
-89,-74,-997
-60,39,-1134
-66,325,-1251
-27,320,-1155
0,357,-1030
121,107,-1003
29,-284,-929
37,-265,-866
-17,-357,-936
-95,91,-1081
-54,119,-1179
39,275,-1212
33,421,-1038
58,140,-1018
105,74,-976
169,-302,-964
-91,-275,-911
-46,-261,-956
-48,81,-1190
1,372,-1255
-42,249,-1069
66,380,-1024
111,33,-1018
46,-165,-964
113,-283,-874
-31,-337,-948
-130,85,-1018
-62,50,-1138
-15,411,-1218
-17,345,-1136
21,160,-1015
111,0,-983
29,-251,-925
-52,-230,-870
-9,-363,-1003
-62,15,-1083
-40,324,-1233
-66,382,-1200
37,396,-1040
50,-50,-1036
89,-27,-970
17,-345,-790
-37,-181,-935
-201,-107,-1044
81,-87,-1214
-33,519,-1192
23,177,-1079
17,429,-1009
95,-101,-999
64,-337,-864
-103,-163,-827
-54,-269,-1040
-39,218,-1143
-85,44,-1300
-193,439,-1124
35,169,-1073
-37,218,-977
62,-29,-938
-3,-540,-886
-249,-97,-876
-341,-37,-1095
-13,183,-1301
-230,121,-1147
-119,437,-950
-165,298,-1056
-58,1,-1026
-191,-124,-829
-249,-532,-860
-195,-134,-1038
-308,89,-1192
-240,224,-1278
-292,363,-1159
-343,222,-964
-85,318,-976
-162,-109,-981
-290,-310,-907
-425,-195,-944
-404,-111,-1120
-439,306,-1177
-318,52,-1253
-236,447,-1054
-349,189,-931
-206,107,-892
-327,-210,-999
-324,-222,-940
-378,-46,-919
-283,-91,-1218
-316,251,-1298
-284,247,-1091
-281,394,-927
-76,117,-995
-171,-363,-954
-345,93,-872
-312,-322,-1057
-376,-27,-1130
-281,-76,-1198
-296,452,-1059
-191,454,-1026
-162,206,-1026
-181,-44,-1071
-144,-240,-1056
-214,-64,-890
-234,-417,-899
-253,-66,-1085
-245,236,-1155
-212,499,-1100
-138,411,-1081
0,-89,-1161
-9,11,-997
-89,-257,-804
-199,-179,-860
-214,-316,-1063
-206,121,-1114
-171,322,-1159
3,298,-1182
-39,316,-1114
66,-142,-1065
-13,44,-862
-48,-312,-821
-13,-97,-935
27,-105,-1196
113,212,-1243
124,388,-1206
163,95,-1141
197,189,-938
259,-290,-868
130,-107,-810
23,-271,-960
17,-76,-1165
35,130,-1264
25,345,-1202
9,400,-1013
126,-64,-946
80,95,-839
21,-359,-812
-74,-162,-874
-185,-206,-1098
-89,-9,-1276
-122,368,-1216
17,306,-1108
-72,421,-962
37,-222,-970
-42,97,-862
-128,-357,-915
-195,-109,-1057
-189,-224,-1249
-103,277,-1239
-160,283,-1120
-19,353,-1034
-31,173,-938
40,-257,-931
-81,93,-868
-93,-372,-1007
-111,39,-1151
-91,3,-1251
-39,331,-1188
-21,238,-1020
56,189,-958
89,-162,-907
31,-144,-845
-52,1,-870
-35,-267,-1104
11,195,-1243
-25,46,-1188
74,433,-1067
48,126,-974
103,-44,-938
54,-218,-845
-17,-97,-903
-87,-83,-1007
-13,-101,-1264
-7,304,-1264
15,113,-1118
-11,484,-960
37,-150,-964
93,9,-911
-23,-160,-854
-39,-117,-1040
-58,-72,-1184
7,97,-1319
-54,359,-1157
27,124,-1013
62,242,-915
105,-290,-948
5,52,-837
-60,-245,-929
-64,103,-1139
-52,-11,-1262
-15,242,-1194
-11,183,-1007
76,101,-995
64,-81,-907
54,-212,-847
-58,40,-899
-40,-175,-1087
-42,212,-1249
-15,11,-1237
37,404,-1059
29,-7,-964
70,15,-921
48,-257,-880
-17,-23,-892
-72,-37,-999
-5,-78,-1251
-48,286,-1257
0,160,-1159
11,343,-999
39,-132,-948
72,-23,-913
-25,-261,-882
-60,136,-989
-105,-150,-1188
-13,240,-1298
-76,181,-1186
19,220,-1007
19,48,-927
126,-193,-962
-7,-27,-853
-31,-167,-954
-115,138,-1143
-11,-25,-1288
-58,402,-1169
5,11,-1032
58,238,-911
76,-314,-962
40,-40,-847
-97,-152,-899
-35,95,-1081
-27,-27,-1286
9,302,-1220
13,224,-1052
70,68,-968
68,-56,-911
83,-308,-874
-58,40,-886
-35,-152,-1054
3,163,-1214
-11,99,-1262
42,325,-1100
-1,13,-936
99,81,-886
72,-320,-917
3,33,-856
-74,-121,-1024
-33,142,-1227
11,39,-1301
-3,351,-1128
13,144,-968
85,-50,-921
83,-154,-907
9,-173,-864
-85,83,-999
-76,-62,-1212
-11,277,-1276
-31,160,-1214
25,306,-962
54,-95,-923
111,-3,-929
-9,-310,-884
-99,101,-956
-124,-58,-1177
-11,240,-1301
-52,187,-1218
25,292,-991
31,29,-923
105,-142,-956
0,-212,-853
-91,-21,-960
-111,15,-1145
-1,52,-1305
