x,y,z,
-17,29,-1013,
-9,31,-1011,
-15,21,-1009,
-15,9,-1016,
-5,25,-1020,
-9,37,-1018,
-13,23,-1024,
-17,23,-1011,
-13,25,-1009,
-13,25,-1018,
-15,29,-1015,
-17,25,-1018,
-13,11,-1013,
-1,9,-1015,
-23,13,-1024,
-17,27,-1022,
-13,25,-1013,
-19,33,-1007,
-13,17,-1013,
-19,13,-1015,
-19,25,-1022,
-9,23,-1018,
-9,19,-1007,
-21,9,-1013,
-19,15,-1018,
-21,31,-1020,
-21,23,-1011,
-23,11,-1022,
-9,21,-1005,
-17,25,-1015,
-17,27,-1015,
-23,21,-1018,
-13,15,-1018,
-5,17,-1016,
-9,19,-1015,
-19,17,-1018,
-3,19,-1020,
-5,23,-1024,
-11,27,-1015,
-21,17,-1024,
-11,29,-1020,
-11,42,-1007,
-7,27,-1016,
-7,19,-1026,
-15,-1,-1013,
-7,13,-1016,
-5,25,-1007,
-15,25,-1013,
-15,25,-1022,
-15,27,-1016,
-25,19,-1015,
-23,35,-1015,
-13,23,-1022,
-3,25,-1013,
-11,19,-1028,
-5,23,-1018,
-9,31,-1013,
-3,21,-1018,
-27,27,-1011,
-21,13,-1015,
-21,21,-1020,
-13,33,-1015,
-13,25,-1018,
-9,23,-1016,
-11,37,-1018,
-17,33,-1015,
-17,33,-1009,
-13,23,-1024,
-9,15,-1013,
-9,19,-1015,
-19,33,-1013,
-11,29,-1015,
-17,31,-1016,
-11,27,-1016,
-15,23,-1015,
-17,29,-1009,
-13,25,-1018,
-3,17,-1026,
-9,27,-1026,
-11,25,-1016,
-13,21,-1020,
-9,33,-1022,
-15,33,-1013,
-19,15,-1018,
-15,19,-1018,
-21,19,-1018,
-9,19,-1018,
-17,25,-1022,
-21,25,-1026,
-7,23,-1016,
-13,17,-1016,
-17,17,-1022,
-5,17,-1009,
-5,21,-1015,
-9,25,-1020,
-13,17,-1016,
-23,23,-1020,
-23,29,-1011,
-11,17,-1024,
-15,17,-1024,
-13,19,-1011,
-5,13,-1018,
-11,25,-1018,
-21,33,-1013,
-3,17,-1024,
-15,13,-1018,
-19,21,-1015,
-11,27,-1013,
-15,19,-1018,
-15,19,-1022,
-7,25,-1016,
-9,25,-1024,
-27,29,-1020,
-21,19,-1016,
-13,21,-1024,
-15,21,-1018,
-15,19,-1007,
-19,25,-1022,
-23,31,-1013,
-9,27,-1015,
-15,31,-1016,
-19,17,-1011,
-13,25,-1016,
-7,31,-1011,
-17,25,-1018,
-7,25,-1007,
-15,19,-1015,
-11,17,-1013,
-7,31,-1020,
-21,35,-1015,
-27,31,-1015,
-21,17,-1005,
-23,21,-1020,
-9,31,-1018,
-7,27,-1024,
-11,25,-1016,
-11,17,-1011,
-9,37,-1009,
-9,33,-1016,
-13,25,-1015,
-5,11,-1011,
0,23,-1011,
-11,21,-1016,
-11,27,-1005,
-11,33,-1020,
-7,29,-1018,
-11,19,-1015,
-13,19,-1026,
-7,21,-1015,
-3,29,-1011,
-7,19,-1018,
-17,25,-1022,
-11,13,-1003,
-7,31,-1015,
-5,35,-1015,
-11,17,-1018,
-11,13,-1011,
-11,9,-1022,
-5,23,-1020,
-9,39,-1020,
-17,19,-1016,
-13,29,-1013,
-15,25,-1024,
-23,27,-1013,
-11,19,-1011,
-13,35,-1015,
-9,25,-1022,
-29,21,-1028,
-21,27,-1024,
-17,21,-1016,
-15,25,-1026,
-17,25,-1007,
-9,13,-1013,
-19,19,-1011,
-5,35,-1018,
-1,29,-1020,
-5,23,-1007,
-23,13,-1015,
-15,21,-1009,
-9,37,-1013,
-19,35,-1015,
-19,15,-1018,
-11,17,-1022,
-11,21,-1011,
-5,37,-1007,
-7,23,-1018,
-9,19,-1024,
-9,13,-1024,
-7,19,-1026,
-11,31,-1013,
-13,29,-1009,
-7,15,-1015,
-21,31,-1018,
-11,25,-1015,
-13,19,-1022,
-23,27,-1007,
-1,23,-1007,
-13,23,-1016,
-9,9,-1022,
-9,25,-1015,
-11,29,-1016,
-13,21,-1018,
-17,23,-1016,
-9,21,-1013,
-17,31,-1020,
-13,13,-1018,
-11,13,-1026,
-13,19,-1005,
-17,29,-1020,
-9,37,-1026,
-13,31,-1026,
-15,29,-1028,
-3,19,-1013,
-15,21,-1007,
-25,25,-1011,
-21,29,-1020,
-19,39,-1013,
-21,29,-1018,
-23,23,-1015,
-21,19,-1016,
-9,21,-1016,
-7,27,-1022,
-11,27,-1011,
-1,17,-1016,
-7,17,-1020,
-11,29,-1020,
-13,25,-1016,
-15,27,-1011,
-3,17,-1020,
-17,5,-1018,
-21,9,-1024,
-15,25,-1013,
-17,17,-1020,
-9,17,-1020,
-19,17,-1022,
-21,23,-1016,
-7,23,-1020,
-7,15,-1013,
-5,9,-1015,
-15,17,-1009,
-21,29,-1015,
-17,31,-1011,
-11,35,-1015,
-7,19,-1009,
-11,7,-1009,
-9,17,-1018,
-5,25,-1020,
-11,31,-1020,
-17,27,-1016,
-17,23,-1015,
-7,23,-1018,
-19,29,-1020,
-19,29,-1009,
-13,19,-1018,
-5,25,-1016,
-13,31,-1015,
-3,31,-1018,
-13,33,-1007,
-9,31,-1013,
-11,21,-1020,
-9,21,-1013,
-17,37,-1016,
-19,31,-1013,
-23,42,-1016,
-13,29,-1005,
-19,21,-1018,
-15,40,-1011,
-27,31,-1009,
-3,19,-1015,
1,15,-1015,
-19,15,-1016,
-11,19,-1016,
-11,27,-1022,
-5,29,-1020,
-5,21,-1028,
-21,25,-1018,
-7,23,-1018,
-17,29,-1015,
-15,29,-1018,
-15,19,-1009,
-11,17,-1016,
-7,39,-1022,
-15,33,-1009,
-17,19,-1026,
-21,25,-1026,
-21,19,-1028,
-13,19,-1015,
-11,23,-1024,
-15,21,-1013,
-11,21,-1013,
-21,19,-1013,
-11,13,-1018,
-5,19,-1015,
-11,15,-1022,
-5,21,-1013,
11,15,-1015,
7,35,-1015,
23,46,-1011,
52,27,-1013,
7,9,-1016,
19,-7,-1015,
-11,23,-1036,
-42,21,-1042,
-21,13,-1013,
-52,25,-1005,
-21,52,-983,
267,95,-964,
-1,76,-1038,
425,-48,-897,
841,37,-923,
427,140,-1177,
1059,-44,-956,
784,-21,-1089,
989,-23,-1124,
1120,163,-1097,
1016,87,-1056,
1266,-46,-915,
1063,50,-1061,
1177,66,-1026,
1122,78,-1059,
1179,-19,-1005,
1040,-31,-979,
1132,109,-880,
979,56,-983,
960,-13,-878,
940,-54,-808,
835,62,-987,
841,171,-977,
831,-9,-944,
858,-48,-962,
790,76,-1054,
841,76,-1032,
841,-23,-1009,
946,3,-995,
979,138,-1110,
1001,181,-1130,
1073,40,-1071,
1079,-39,-1079,
1143,72,-1104,
1110,35,-1132,
1128,-35,-1048,
1141,-48,-977,
1159,101,-1059,
1126,230,-1128,
1216,54,-1032,
1098,-25,-1046,
1153,15,-1081,
1087,113,-1091,
1171,-5,-929,
1138,-44,-880,
1177,171,-948,
1173,169,-1005,
1202,64,-938,
1276,-169,-948,
1106,-5,-1075,
1194,119,-1028,
1057,-35,-960,
1124,17,-868,
1020,-17,-956,
1016,236,-991,
1163,21,-936,
1011,40,-974,
1253,105,-1001,
1173,136,-1097,
1229,-27,-972,
1171,-150,-989,
1130,162,-999,
1124,218,-1059,
1124,74,-979,
1173,-29,-919,
1159,109,-1020,
1223,232,-1085,
1272,-46,-1040,
1188,-19,-1067,
1348,-40,-1036,
1259,199,-1112,
1378,9,-979,
1333,-87,-911,
1479,296,-954,
1448,136,-1065,
1179,56,-1083,
1389,-333,-1040,
1155,-85,-1120,
1278,281,-1028,
1143,-19,-950,
1397,-13,-790,
1165,175,-983,
1169,191,-1085,
1177,-117,-1093,
1165,-111,-1032,
1407,-89,-995,
1124,117,-1020,
1458,70,-802,
1194,-54,-899,
1405,33,-1015,
1214,11,-1257,
1220,257,-1136,
1159,17,-977,
1344,54,-1071,
1171,64,-1015,
1286,-3,-868,
1235,-35,-890,
1315,122,-1122,
1259,203,-1173,
1300,81,-1065,
1280,107,-890,
1255,-80,-933,
1221,-27,-985,
1180,-152,-931,
1325,-21,-962,
1081,491,-1079,
1194,396,-1112,
1341,-58,-977,
1245,-189,-903,
1130,-31,-1056,
1321,-42,-1079,
1216,220,-981,
1229,-89,-897,
1378,167,-1028,
1255,423,-919,
1335,81,-1061,
1169,-158,-983,
1321,-212,-1038,
1257,-19,-1015,
1097,142,-1030,
1257,9,-999,
1128,119,-903,
1056,351,-1106,
979,-93,-1097,
1038,-103,-966,
876,89,-962,
888,5,-1036,
739,93,-1007,
636,-40,-962,
447,-25,-1057,
351,128,-1007,
355,-119,-903,
376,-105,-923,
169,296,-954,
204,165,-1005,
50,119,-1210,
0,-35,-1188,
-33,-122,-927,
-206,109,-927,
-154,-29,-1015,
-156,167,-909,
-206,-15,-1005,
-249,593,-1194,
-109,13,-1204,
-111,-124,-1042,
-93,-138,-903,
-101,-187,-1046,
-675,150,-1128,
-530,-39,-958,
-1067,-39,-1179,
-450,201,-1030,
-1510,275,-1114,
-1311,-9,-915,
-810,-136,-640,
-1836,-48,-1145,
-1198,7,-954,
-1709,-21,-874,
-1149,-175,-894,
-1702,400,-1050,
-1108,1,-866,
-1417,13,-1124,
-1020,-74,-796,
-1085,-115,-936,
-1095,66,-1278,
-913,-70,-1188,
-976,162,-1196,
-815,-11,-1079,
-1028,142,-1132,
-733,-89,-935,
-698,-72,-894,
-737,132,-999,
-829,206,-1030,
-751,204,-958,
-665,-162,-995,
-917,-232,-1100,
-657,142,-790,
-923,-5,-804,
-815,3,-907,
-1007,1,-956,
-919,249,-958,
-886,50,-956,
-1100,-113,-1095,
-1028,-218,-1050,
-1255,-9,-1022,
-1050,3,-935,
-1300,-7,-1005,
-997,-15,-815,
-1227,148,-1071,
-1143,126,-1177,
-1120,-140,-1102,
-1073,-171,-1138,
-1214,187,-1184,
-1188,9,-1138,
-1134,62,-1067,
-1182,70,-1015,
-1145,76,-1141,
-1303,144,-1138,
-1013,-247,-1177,
-1165,-60,-1171,
-1067,296,-991,
-972,64,-1050,
-1009,-122,-995,
-1093,-204,-1011,
-1112,93,-968,
-1165,329,-993,
-1301,-138,-1139,
-1151,48,-925,
-1274,148,-974,
-1136,80,-913,
-1212,-56,-1007,
-1180,-158,-938,
-1223,76,-958,
-1294,163,-854,
-1296,15,-1065,
-1241,66,-845,
-1401,-3,-1061,
-1592,70,-884,
-1374,-193,-995,
-1239,50,-1081,
-1530,378,-1075,
-1243,66,-890,
-1216,-165,-1097,
-1315,7,-1061,
-1200,142,-1063,
-1284,126,-1054,
-1147,-171,-1056,
-1198,66,-1112,
-1298,396,-1026,
-1136,74,-1009,
-1190,-195,-1089,
-1204,-128,-1087,
-1331,95,-1036,
-1171,70,-970,
-1278,-191,-1100,
-1208,144,-1075,
-1382,304,-1028,
-1223,76,-936,
-1216,-216,-958,
-1163,-245,-974,
-1274,152,-979,
-1184,76,-1016,
-1245,-95,-1063,
-1042,-33,-1114,
-1432,193,-1009,
-1102,-165,-888,
-1260,-162,-1005,
-1085,-62,-1009,
-1272,138,-1102,
-1169,232,-1059,
-1097,-56,-1057,
-974,-107,-1001,
-995,115,-956,
-872,-1,-981,
-821,-46,-1075,
-751,56,-1067,
-741,99,-1052,
-761,44,-979,
-605,-134,-997,
-614,-25,-1042,
-607,171,-1011,
-538,44,-1038,
-456,-1,-1018,
-404,25,-1003,
-421,50,-1016,
-370,58,-962,
-345,-97,-1009,
-275,11,-995,
-271,91,-987,
-255,87,-936,
-119,-21,-954,
-128,9,-1030,
-78,115,-1028,
-101,46,-1007,
-58,-62,-1054,
-48,-29,-1063,
-70,91,-1016,
-113,107,-1032,
-72,17,-1059,
-99,-21,-1069,
76,31,-985,
-68,56,-993,
132,-29,-976,
409,37,-968,
113,99,-1130,
370,76,-1054,
476,29,-1022,
257,-70,-1112,
484,-48,-1016,
226,140,-1083,
310,3,-1020,
279,46,-1044,
134,9,-1118,
162,-27,-1028,
78,64,-970,
0,-9,-989,
-52,23,-950,
-111,103,-962,
-152,46,-929,
-181,109,-942,
-152,33,-995,
-214,21,-1001,
-126,52,-952,
-140,23,-1040,
-64,9,-1067,
-425,-83,-1141,
-62,-29,-1069,
-322,240,-1167,
-1054,-17,-1202,
-322,-70,-952,
-665,191,-1020,
-911,9,-987,
-1200,72,-1044,
-630,144,-958,
-753,-64,-913,
-1177,54,-1184,
-585,62,-895,
-946,35,-976,
-513,-50,-972,
-710,25,-1065,
-448,9,-997,
-579,66,-1163,
-474,107,-1136,
-347,21,-1050,
-302,58,-1141,
-312,62,-991,
-292,-40,-989,
-148,-23,-1003,
-191,37,-964,
-324,81,-1028,
-210,1,-935,
-208,87,-890,
-179,-46,-895,
-318,9,-954,
-150,-25,-882,
-177,17,-940,
-160,126,-942,
-56,44,-981,
-21,33,-946,
5,-25,-956,
269,-31,-1005,
60,-39,-1083,
271,-40,-970,
259,68,-1091,
284,50,-1083,
244,21,-1011,
197,25,-1063,
263,50,-1056,
210,0,-1069,
142,19,-1087,
165,66,-1071,
76,52,-1098,
130,39,-1046,
-25,33,-1028,
-17,-66,-995,
-64,-35,-1005,
-80,21,-1020,
-107,-3,-1036,
-119,11,-1026,
-128,56,-1042,
-122,-3,-1040,
-134,-13,-1038,
-111,-35,-1042,
-158,11,-1059,
-111,72,-1057,
-150,48,-1063,
-154,25,-1054,
-167,35,-1036,
-150,-19,-1016,
-152,17,-1034,
-134,0,-1005,
-117,40,-1009,
-109,93,-1018,
-93,72,-991,
-76,19,-972,
-74,40,-985,
-72,17,-999,
-66,29,-993,
-48,58,-983,
-62,74,-991,
-37,78,-985,
-54,35,-970,
-40,21,-976,
-44,35,-968,
-60,74,-968,
-19,62,-974,
-68,105,-970,
-3,27,-974,
-54,78,-997,
-3,0,-987,
-40,5,-1001,
0,25,-999,
-21,0,-1024,
-5,70,-1030,
-9,5,-1046,
0,31,-1038,
15,5,-1048,
7,-25,-1050,
23,21,-1036,
23,23,-1046,
29,64,-1036,
31,-1,-1042,
-11,11,-1050,
25,-13,-1044,
0,-13,-1069,
25,7,-1044,
11,13,-1034,
33,-3,-1030,
21,21,-1040,
40,-33,-1028,
15,-3,-1030,
46,-25,-1030,
-11,15,-1022,
17,5,-1003,
-33,1,-997,
-3,35,-999,
-17,-13,-1005,
-29,7,-1011,
-15,-31,-995,
-66,35,-1007,
1,5,-1003,
-68,76,-1016,
-11,21,-1009,
-58,27,-1024,
-44,44,-1009,
-56,9,-1018,
-66,81,-1005,
-29,5,-1018,
-76,85,-1030,
-21,9,-1007,
-72,46,-1034,
-25,58,-1015,
-54,21,-1024,
-42,64,-1015,
-27,-3,-1020,
-64,72,-1020,
1,15,-1024,
-58,44,-1026,
-3,50,-1005,
-39,-13,-1011,
-33,72,-1018,
-9,-1,-1020,
-44,40,-1020,
27,1,-1011,
-31,7,-1009,
31,25,-993,
-19,33,-995,
-1,54,-993,
-9,-1,-1011,
-21,27,-1007,
-3,-9,-1016,
-33,37,-1005,
23,13,-1005,
-33,19,-1020,
29,27,-997,
-31,0,-1030,
-21,70,-1016,
42,-19,-1016,
-54,39,-1026,
64,1,-1011,
-7,44,-1040,
52,33,-1038,
58,44,-1036,
15,46,-1038,
283,-21,-1028,
-44,-48,-1028,
-56,150,-1063,
89,5,-948,
39,19,-1028,
-76,7,-1073,
52,-29,-981,
60,35,-1020,
-23,95,-1038,
33,19,-1011,
5,13,-979,
-66,74,-1032,
23,-17,-985,
-78,35,-1042,
-5,-37,-1007,
-107,9,-1048,
11,9,-1050,
-74,122,-1022,
7,7,-974,
-66,-50,-1044,
-21,-66,-991,
-17,-25,-1042,
-48,95,-1040,
-13,117,-1016,
-35,72,-1005,
-50,-13,-981,
-39,-91,-1003,
-31,-5,-995,
-21,15,-1048,
-48,93,-1009,
-17,99,-1020,
-66,85,-1003,
-21,5,-1036,
-81,0,-1050,
-7,-46,-983,
-66,-39,-960,
-31,121,-1003,
-66,165,-1018,
-31,156,-1022,
-44,-1,-1016,
-54,-48,-1011,
-40,-44,-997,
-42,5,-1005,
-35,128,-997,
-7,130,-1028,
-29,136,-1013,
-1,31,-1018,
0,-15,-1036,
0,3,-1018,
7,13,-1018,
19,89,-1003,
11,115,-1003,
9,87,-1009,
21,23,-1022,
3,-7,-1018,
85,-56,-1016,
-44,-31,-1069,
-35,44,-1013,
5,46,-977,
44,284,-976,
-44,107,-1075,
-40,27,-1032,
11,-177,-1042,
19,-148,-1048,
-15,56,-1015,
-11,70,-1026,
9,226,-1024,
-56,136,-999,
40,-40,-1024,
-42,-9,-1036,
56,-117,-981,
-27,19,-1042,
60,95,-1022,
-5,81,-1032,
29,89,-1001,
7,13,-1030,
46,-39,-997,
-21,-50,-981,
15,3,-1005,
-21,70,-1028,
-9,93,-993,
-35,37,-1020,
-33,-13,-993,
-21,-35,-993,
-29,-7,-976,
-46,11,-991,
-27,42,-1013,
-40,72,-1013,
-27,25,-1005,
-40,-23,-1028,
-25,-44,-1022,
-13,-44,-1016,
-7,31,-1020,
-9,64,-1016,
0,56,-1009,
-11,33,-1026,
-19,0,-1020,
-3,-35,-1028,
-15,-15,-1030,
-17,17,-1011,
-3,25,-1013,
-13,48,-1016,
-7,15,-1011,
-13,-33,-1020,
-23,-31,-1016,
-9,-19,-1015,
-13,23,-1009,
3,33,-1011,
-21,44,-1024,
-3,15,-1013,
-15,-13,-1020,
-23,-5,-1015,
-13,-31,-1007,
-21,29,-1005,
-9,58,-1001,
-13,70,-1026,
-9,50,-1018,
-15,-5,-1030,
-5,-7,-1026,
-7,13,-1026,
-25,81,-1020,
17,44,-1016,
-35,85,-1022,
5,29,-1016,
-21,21,-1024,
9,19,-1028,
-17,27,-1028,
7,58,-1007,
-3,54,-1022,
0,89,-1022,
-13,54,-1015,
-7,21,-1022,
-17,42,-1028,
-17,29,-1015,
-15,60,-1024,
-31,80,-1028,
-11,42,-1015,
-13,37,-1009,
-21,29,-1013,
-17,17,-1013,
-9,31,-1009,
-25,44,-1007,
5,39,-1011,
-29,40,-1013,
-21,29,-1016,
-11,1,-1016,
-21,21,-1011,
-15,3,-1013,
-17,15,-1016,
-11,31,-1020,
-33,25,-1018,
-5,25,-1015,
-27,19,-1018,
-29,11,-1030,
-11,5,-1013,
-23,33,-1015,
-15,23,-1018,
-9,13,-1016,
-17,13,-1016,
-23,5,-1018,
0,5,-1018,
-19,15,-1018,
-13,9,-1018,
1,11,-1032,
-13,13,-1015,
-21,19,-1015,
-1,19,-1015,
-13,19,-1028,
-17,15,-1015,
-3,0,-1016,
-5,13,-1028,
-19,13,-1020,
11,13,-1016,
-13,7,-1026,
-15,15,-1016,
7,5,-1018,
-13,25,-1013,
-5,23,-1026,
-9,9,-1018,
0,19,-1022,
-27,21,-1018,
-1,23,-1015,
-11,35,-1016,
-11,29,-1009,
-5,3,-1009,
-25,11,-1016,
-23,11,-1013,
-9,15,-1013,
-17,25,-1013,
-21,9,-1020,
0,27,-1015,
-7,37,-1015,
-31,29,-1016,
-11,25,-1016,
-11,25,-1013,
-21,31,-1011,
-11,25,-1013,
-21,42,-1020,
-21,27,-1015,
-21,21,-1015,
-13,19,-1011,
-35,33,-1011,
-19,35,-1011,
-13,33,-1020,
-13,35,-1011,
-11,21,-1020,
-13,44,-1016,
-11,29,-1015,
-3,37,-1018,
-13,37,-1013,
-11,25,-1015,
-11,39,-1015,
-7,40,-1020,
-19,31,-1015,
1,25,-1009,
-13,31,-1022,
-21,39,-1011,
-5,21,-1016,
-7,37,-1016,
-31,19,-1015,
-5,15,-1020,
-3,31,-1018,
-11,23,-1015,
-7,31,-1015,
0,33,-1020,
-19,17,-1018,
-1,17,-1016,
-11,35,-1028,
-21,19,-1018,
-9,17,-1016,
-17,21,-1016,
-25,29,-1020,
1,17,-1013,
-13,29,-1026,
-23,11,-1030,
-15,5,-1016,
-13,15,-1022,
-7,27,-1003,
-15,11,-1036,
15,29,-1036,
-13,19,-981,
21,9,-997,
-21,21,-1056,
-21,13,-1026,
-5,9,-1003,
11,13,-1005,
-31,13,-1038,
-11,21,-1030,
-13,23,-1005,
-21,11,-1015,
-17,3,-1022,
-9,11,-1007,
-25,31,-1022,
3,31,-1024,
-9,35,-1007,
-17,17,-1005,
-13,17,-1028,
-13,27,-1020,
-19,31,-1013,
-1,21,-1026,
-7,23,-1028,
-19,27,-1020,
-15,27,-1024,
-1,35,-1011,
-19,25,-1022,
-1,29,-1015,
-13,25,-1020,
-21,23,-1018,
-13,31,-1015,
-17,29,-1007,
-25,17,-1003,
0,27,-1013,
-13,25,-1020,
-13,21,-1015,
-15,29,-1016,
-7,19,-1018,
-25,21,-1016,
0,37,-1009,
-13,44,-1016,
-25,31,-1018,
-11,21,-1022,
-11,23,-1020,
-21,15,-1024,
-13,39,-1022,
-5,33,-1016,
-21,29,-1022,
-19,19,-1028,
-11,21,-1022,
-19,21,-1015,
-19,31,-1016,
-9,33,-1016,
-29,23,-1015,
-17,19,-1024,
-11,25,-1015,
-27,31,-1015,
-11,29,-1026,
-11,23,-1016,
-19,21,-1015,
-9,29,-1020,
-5,29,-1022,
-17,29,-1015,
-11,25,-1009,
-7,15,-1020,
-21,23,-1016,
-11,29,-1009,
-13,21,-1013,
-13,19,-1022,
-13,11,-1020,
-7,13,-1015,
-15,23,-1011,
-1,29,-1026,
-11,21,-1018,
-29,15,-1011,
-17,15,-1015,
-11,11,-1022,
-31,15,-1013,
-17,15,-1011,
-13,17,-1018,
-19,13,-1003,
-11,25,-1015,
-5,21,-1018,
-17,15,-1011,
-9,29,-1018,
-3,9,-1015,
-17,13,-1020,
-15,25,-1018,
-3,27,-1022,
-27,19,-1005,
-15,21,-1015,
-9,17,-1016,
-11,25,-1005,
-17,19,-1024,
-5,15,-1026,
-11,19,-1005,
-11,17,-1024,
-1,29,-1011,
-21,33,-1013,
-11,31,-1022,
-3,19,-1022,
-15,23,-1013,
-13,17,-1018,
-7,23,-1020,
-15,29,-1009,
-15,25,-1020,
-7,31,-1013,
-27,37,-1013,
-15,31,-1016,
-3,17,-1020,
-21,29,-1011,
-13,19,-1022,
-3,27,-1022,
-29,40,-1005,
-11,31,-1018,
-7,23,-1018,
-27,21,-1015,
-19,27,-1009,
-13,19,-1009,
-15,29,-1013,
-19,31,-1016,
-3,25,-1022,
-7,25,-1024,
-21,29,-1016,
-11,19,-1007,
-17,25,-1016,
-25,19,-1009,
-9,19,-1026,
-13,35,-1015,
-21,29,-1013,
-11,21,-1018,
-13,19,-1015,
-3,29,-1020,
-5,23,-1018,
-21,31,-1007,
-17,17,-1009,
1,19,-1018,
-27,25,-1013,
-5,23,-1005,
-21,27,-1011,
-21,25,-1011,
-17,19,-1038,
21,9,-1011,
-37,13,-1018,
0,42,-985,
-13,5,-1028,
-11,39,-1026,
-23,11,-1015,
5,5,-1013,
-23,31,-1011,
-5,17,-1003,
-3,-3,-1022,
-3,29,-1028,
-19,35,-1018,
7,7,-1026,
-17,35,-1015,
-1,11,-1013,
-15,13,-1030,
-23,33,-1009,
-17,19,-1016,
-21,19,-1009,
-15,15,-1001,
-25,7,-1015,
-27,19,-1013,
-21,25,-1013,
-23,13,-1005,
-9,25,-1011,
-33,19,-1003,
-25,25,-1011,
-17,31,-1015,
-25,19,-1015,
5,21,-1022,
-21,19,-1018,
-3,15,-1011,
29,33,-1024,
-85,17,-1013,
1,50,-1009,
-3,27,-1028,
-7,7,-1020,
-42,44,-1011,
5,25,-1007,
-5,15,-1026,
-19,33,-1018,
-33,23,-1020,
0,40,-1009,
3,23,-1020,
-25,31,-1020,
-1,15,-1022,
-23,11,-1013,
-1,29,-1016,
-21,29,-1015,
-3,54,-1013,
-11,23,-1013,
-13,9,-1018,
1,35,-1005,
-11,23,-1016,
-5,44,-1013,
0,13,-1007,
1,25,-1003,
31,15,-1026,
19,31,-1022,
17,9,-1011,
7,5,-1024,
-17,23,-1011,
-48,39,-1016,
-50,52,-1001,
-40,52,-1015,
-103,-15,-1015,
27,3,-1151,
-864,-25,-433,
1829,-327,-1091,
-726,294,-1239,
1479,-156,-447,
-1026,569,-1629,
1093,-128,-306,
-1155,-191,-1594,
1110,109,-856,
-1065,39,-1075,
966,-257,-815,
-755,240,-1173,
1030,-119,-784,
-823,208,-1225,
447,-74,-876,
-343,-40,-1206,
290,-13,-769,
-255,103,-1069,
203,35,-991,
-142,72,-1067,
-11,60,-936,
19,-70,-1122,
-119,99,-997,
117,-62,-983,
-115,89,-1034,
146,89,-1026,
-80,25,-1065,
115,-31,-983,
-87,107,-1057,
111,-48,-999,
-144,95,-1044,
81,42,-999,
-68,-17,-1038,
33,70,-991,
